Epoch,epoch,eval/Actions Max,eval/Actions Mean,eval/Actions Min,eval/Actions Std,eval/Average Returns,eval/Num Paths,eval/Returns Max,eval/Returns Mean,eval/Returns Min,eval/Returns Std,eval/Rewards Max,eval/Rewards Mean,eval/Rewards Min,eval/Rewards Std,eval/env_infos/final/reward_dist Max,eval/env_infos/final/reward_dist Mean,eval/env_infos/final/reward_dist Min,eval/env_infos/final/reward_dist Std,eval/env_infos/initial/reward_dist Max,eval/env_infos/initial/reward_dist Mean,eval/env_infos/initial/reward_dist Min,eval/env_infos/initial/reward_dist Std,eval/env_infos/reward_dist Max,eval/env_infos/reward_dist Mean,eval/env_infos/reward_dist Min,eval/env_infos/reward_dist Std,eval/num paths total,eval/num steps total,eval/path length Max,eval/path length Mean,eval/path length Min,eval/path length Std,expl/Actions Max,expl/Actions Mean,expl/Actions Min,expl/Actions Std,expl/Average Returns,expl/Num Paths,expl/Returns Max,expl/Returns Mean,expl/Returns Min,expl/Returns Std,expl/Rewards Max,expl/Rewards Mean,expl/Rewards Min,expl/Rewards Std,expl/env_infos/final/reward_dist Max,expl/env_infos/final/reward_dist Mean,expl/env_infos/final/reward_dist Min,expl/env_infos/final/reward_dist Std,expl/env_infos/initial/reward_dist Max,expl/env_infos/initial/reward_dist Mean,expl/env_infos/initial/reward_dist Min,expl/env_infos/initial/reward_dist Std,expl/env_infos/reward_dist Max,expl/env_infos/reward_dist Mean,expl/env_infos/reward_dist Min,expl/env_infos/reward_dist Std,expl/num paths total,expl/num steps total,expl/path length Max,expl/path length Mean,expl/path length Min,expl/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/sac training (s),time/saving (s),time/total (s),time/training (s),trainer/Alpha,trainer/Alpha Loss,trainer/Log Pis Max,trainer/Log Pis Mean,trainer/Log Pis Min,trainer/Log Pis Std,trainer/Policy Loss,trainer/Q Targets Max,trainer/Q Targets Mean,trainer/Q Targets Min,trainer/Q Targets Std,trainer/Q1 Predictions Max,trainer/Q1 Predictions Mean,trainer/Q1 Predictions Min,trainer/Q1 Predictions Std,trainer/Q2 Predictions Max,trainer/Q2 Predictions Mean,trainer/Q2 Predictions Min,trainer/Q2 Predictions Std,trainer/QF1 Loss,trainer/QF2 Loss,trainer/num train calls,trainer/policy/mean Max,trainer/policy/mean Mean,trainer/policy/mean Min,trainer/policy/mean Std,trainer/policy/normal/log_std Max,trainer/policy/normal/log_std Mean,trainer/policy/normal/log_std Min,trainer/policy/normal/log_std Std,trainer/policy/normal/std Max,trainer/policy/normal/std Mean,trainer/policy/normal/std Min,trainer/policy/normal/std Std
0,0,0.0005747805,2.088718e-05,-0.00067948236,0.00023993841,-3.928802913055872,33,-3.9243185094722217,-3.928802913055872,-3.982864114513297,0.010298525267724384,-0.2734159182837233,-1.3096009710186238,-2.491404143710001,0.9018163389579362,-0.2734159182837233,-0.2755659150676508,-0.29756640947862834,0.00506674650772522,-2.4720006418674276,-2.473120094211626,-2.491404143710001,0.003241694087210715,-0.2734159182837233,-1.3096009710186238,-2.491404143710001,0.9018163389579362,33,99,3,3.0,3,0.0,0.99865395,-0.001546336,-0.9988979,0.62655896,-157.96088184465606,27,-70.28106942333308,-157.96088184465606,-282.662142466335,52.92753202212089,-2.2701123562519285,-8.52988761961143,-21.580366673674522,3.7572679849655897,-4.116212345278216,-11.208928993912524,-20.287400079973075,4.118502828620016,-2.2701123562519285,-4.218374348286733,-5.985650337120724,1.1201267687041714,-2.2701123562519285,-8.52988761961143,-21.580366673674522,3.7572679849655897,554,10500,20,18.51851851851852,9,3.0230028040610164,10500,0.0016661660047248006,308.7811947216396,285.097141064005,13.48296935899998,0.0025782749871723354,10.188826955651166,0.007954580010846257,311.54405618840246,5.832198075950146e-05,1.0,-0.0,-5.0626106,-8.039812,-10.538416,0.7585768,-8.037533,8.328684,0.5420695,-16.758865,3.5868187,0.0018740252,-0.002232079,-0.0092424145,0.0013027124,0.0022605162,-0.00072355743,-0.0064290953,0.00085943926,13.15689,13.157267,1000,0.005052978,0.00010263294,-0.003092013,0.0006790345,0.00771649,0.00019469392,-0.0029987907,0.00079314737,1.0077463,1.000195,0.9970057,0.00079356146
1,1,0.27292472,-0.034875367,-0.88368696,0.22549391,-1.4180785374193619,49,-1.3628571067182382,-1.4180785374193619,-1.8052000762143505,0.07957378985747059,-0.2341040564783301,-0.6948584833354873,-1.1899363314711955,0.43760563711699774,-0.2341040564783301,-0.2633424429188385,-0.29541065179209236,0.016207887291141063,-1.1142089010798013,-1.1408535468979875,-1.1899363314711955,0.01721881190419775,-0.2341040564783301,-0.6948584833354873,-1.1899363314711955,0.43760563711699774,82,199,3,2.0408163265306123,2,0.19786448397617673,0.9964151,-0.028746888,-0.99802464,0.5703024,-26.62441414150964,39,-2.765523948840168,-26.62441414150964,-55.69178331201896,18.437580023434894,-0.25652800510457,-2.076704303037752,-3.9318696624611023,0.7901925837451114,-0.25652800510457,-1.07776750645366,-2.765523948840168,0.8750332461281906,-2.124804459826744,-2.7669129766218417,-3.8149247205623276,0.45494857706816705,-0.25652800510457,-2.076704303037752,-3.9318696624611023,0.7901925837451114,593,11000,20,12.820512820512821,1,7.35848296402777,11000,0.0017139940173365176,32.31271315450431,3.8519961850252002,18.92721370101208,0.0035201809951104224,9.523867511481512,0.004342091997386888,345.1897856333526,5.9489975683391094e-05,0.3811505436897278,-16.09024429321289,1.6423492,-4.6814175,-14.521215,2.091233,3.0873208,3.5625212,-9.730118,-65.22671,10.184614,2.912012,-9.809369,-59.28898,9.785316,2.9113595,-9.810286,-59.21084,9.784872,4.2121716,4.187147,2000,0.97394496,-0.014404893,-0.97716916,0.40966958,-0.08969958,-0.27292466,-1.0789236,0.2168557,0.9142058,0.7771879,0.33996126,0.14115843
2,2,0.3633055,-0.047465593,-0.93013436,0.24881527,-1.4273786329927958,50,-1.3625624561578733,-1.4273786329927958,-1.4682346111277034,0.02872997645051399,-0.24801544495929068,-0.7136893164963979,-1.1919006634947027,0.4407077860643503,-0.24801544495929068,-0.27349251307230754,-0.2948716097800343,0.014899672683624774,-1.1059134814491902,-1.1538861199204882,-1.1919006634947027,0.026043303550602397,-0.24801544495929068,-0.7136893164963979,-1.1919006634947027,0.4407077860643503,132,299,2,2.0,2,0.0,0.99465954,-0.0593147,-0.99687374,0.5669188,-24.263771988665635,41,-1.4049255480721368,-24.263771988665635,-73.55445337288617,17.52021892893621,-0.23256562669216244,-1.989629303070582,-8.265986162260969,0.9545053593130312,-0.23256562669216244,-1.077039987628607,-5.704824717261585,1.2272214443838205,-1.1031560920279793,-2.5059554097851873,-3.713481692762681,0.4840587553080421,-0.23256562669216244,-1.989629303070582,-8.265986162260969,0.9545053593130312,634,11500,20,12.195121951219512,2,7.157528910670156,11500,0.0017228299984708428,35.007715959625784,3.85126579599455,19.549489344994072,0.005117829015944153,11.593939541606233,0.0061059069994371384,381.788411641086,7.471101707778871e-05,0.15685513615608215,-27.24075698852539,11.198966,-2.7053971,-13.029648,3.4737732,4.643758,1.7878078,-10.84583,-97.60411,12.55288,1.0081241,-10.736955,-98.049675,12.258858,0.90857893,-10.756247,-97.95675,12.252042,6.831219,6.7494807,3000,0.9931619,-0.018612744,-0.99194163,0.4764486,-0.023551622,-0.35432386,-1.1690916,0.26642543,0.97672355,0.72411275,0.310649,0.16172044
3,3,0.86835766,-0.16159922,-0.9904317,0.43570778,-78.73059348439611,5,-77.96367957732423,-78.73059348439611,-79.7030164674483,0.6602252947977957,-2.1227002883310764,-3.936529674219806,-7.760105727900804,1.9961971933188367,-5.23488298963572,-5.450064829114898,-5.713192328236852,0.15511357674867352,-2.286154032269398,-2.3187247890821547,-2.3442492343314525,0.01995045792362221,-2.1227002883310764,-3.936529674219806,-7.760105727900804,1.9961971933188367,137,399,20,20.0,20,0.0,0.9927305,-0.13860677,-0.9997793,0.52814907,-43.3788768578827,35,-1.3604258173802248,-43.3788768578827,-99.74754780816966,34.14523086544527,-0.2565240287951474,-3.0365213800517887,-9.531863706508126,2.1653069705261583,-0.2565240287951474,-3.6242073017144327,-9.531863706508126,3.164786855604091,-1.0790086042995248,-2.4129415737518567,-2.96890687673745,0.393009426212855,-0.2565240287951474,-3.0365213800517887,-9.531863706508126,2.1653069705261583,669,12000,20,14.285714285714286,1,7.454898403337341,12000,0.0017126250022556633,33.991781466436805,3.908902703988133,19.547281970008044,0.002768731996184215,10.527567814424401,0.0034948190150316805,417.26121322240215,5.280200275592506e-05,0.06673868745565414,-30.425432205200195,22.720938,0.7603382,-10.669206,4.2053385,8.795645,-0.23256563,-14.320379,-115.656815,10.827272,-0.49383557,-14.182744,-110.25355,10.72659,-0.7932808,-14.185857,-109.745186,10.720154,6.6590614,6.638133,4000,0.99692607,-0.099410586,-0.99643505,0.54771996,-0.08201505,-0.66324717,-2.1010132,0.36538672,0.9212581,0.54361486,0.12233242,0.1452564
4,4,0.7947479,-0.030869745,-0.6677293,0.27746755,-37.66989853708407,5,-31.35018474368128,-37.66989853708407,-44.87355274449561,4.81742270601987,-0.5901073512368182,-1.8834949268542036,-2.61450506968448,0.5278937237311319,-2.518813489366134,-2.574802105452342,-2.61450506968448,0.033588413598794456,-1.1129713240280183,-1.7048828683684971,-2.1501696253130747,0.4759229545025099,-0.5901073512368182,-1.8834949268542036,-2.61450506968448,0.5278937237311319,142,499,20,20.0,20,0.0,0.95197225,-0.04210349,-0.94480175,0.36141893,-42.926606227711304,26,-1.4789046206096517,-42.926606227711304,-59.765706521558364,10.307261103725681,-0.291494400941178,-2.2321835238409875,-3.810122568218424,0.44600784289522366,-0.291494400941178,-2.52485632027948,-3.810122568218424,0.5769276138379262,-1.1173820373827408,-2.162538462795712,-2.792528704981775,0.3361586542234787,-0.291494400941178,-2.2321835238409875,-3.810122568218424,0.44600784289522366,695,12500,20,19.23076923076923,2,3.467516206026045,12500,0.0018181390187237412,35.55842492036754,4.1734518769953866,20.12893518200144,0.0031402450113091618,11.246616696356796,0.004409341985592619,454.37929896841524,5.343899829313159e-05,0.03301457315683365,-20.472824096679688,29.431358,5.9976583,-10.951614,4.7783165,11.73422,-0.24379651,-17.400343,-99.99213,10.651956,-2.5218213,-17.305954,-100.043274,10.556034,-2.6714814,-17.307526,-99.362686,10.537293,6.9481335,7.063979,5000,0.9992703,-0.00850032,-0.9988211,0.5707138,-0.3086509,-1.126052,-2.6908603,0.4852309,0.7344371,0.35644007,0.06782257,0.12844485
5,5,0.56199956,0.02138955,-0.5862582,0.21499415,-38.04683875411916,5,-5.607038913535684,-38.04683875411916,-46.79616446759357,16.229359845624924,-0.28411786714174353,-2.2646927829832837,-2.547057539942833,0.2832541587192097,-0.28411786714174353,-2.0536860985982197,-2.547057539942833,0.8860382969625784,-2.1214726678659526,-2.1428135202522833,-2.166924412909685,0.017436844715121542,-0.28411786714174353,-2.2646927829832837,-2.547057539942833,0.2832541587192097,147,583,20,16.8,4,6.4,0.8697832,0.025372487,-0.8360856,0.28664967,-22.273248211084454,46,-1.3976439220972177,-22.273248211084454,-50.44716384044476,19.742448693525947,-0.25347041928074043,-2.04913883541977,-2.7963577557582506,0.6707097418614644,-0.25347041928074043,-1.110866098197594,-2.7963577557582506,1.0777727364542113,-1.1106244897164446,-2.0307807485505225,-2.6252243325431923,0.42053594157929214,-0.25347041928074043,-2.04913883541977,-2.7963577557582506,0.6707097418614644,741,13000,20,10.869565217391305,2,8.00165389331202,13000,0.0017283630149904639,35.19358975428622,3.897451683995314,19.70768103800947,0.005629485996905714,11.573185319255572,0.007829294016119093,491.1694171387644,8.456999785266817e-05,0.02067319117486477,-9.069726943969727,41.101395,9.661789,-5.948031,5.1860623,12.845373,-0.25014725,-18.462965,-98.76225,10.875561,-3.7662985,-18.457336,-99.14172,10.652584,-3.9284284,-18.448788,-99.25477,10.657314,6.5082836,6.387848,6000,0.9998387,0.024984585,-0.99934614,0.5602916,-0.15623106,-1.4328547,-3.1098619,0.5288259,0.8553615,0.26952842,0.044607118,0.12257188
6,6,0.93029714,-0.03453531,-0.9736656,0.43561172,-55.46492484244955,5,-53.12031545661017,-55.46492484244955,-58.53844698186409,2.180945203053569,-2.0727858503421936,-2.773246242122477,-3.5461486866949534,0.32388256738402715,-2.930367134457905,-3.039320786204989,-3.197387775554812,0.1274157657318622,-2.107766119838868,-2.2895770753069624,-2.4994045720090425,0.16699350511678368,-2.0727858503421936,-2.773246242122477,-3.5461486866949534,0.32388256738402715,152,683,20,20.0,20,0.0,0.9818549,-0.043978307,-0.99669355,0.41389987,-43.53120848558615,28,-1.8023249613398242,-43.53120848558615,-57.049561768264475,17.281433637664286,-0.28960655485798276,-2.4377476751928233,-3.692286493226055,0.6040613488495157,-0.28960655485798276,-2.316748629790694,-3.692286493226055,0.9268998179396883,-1.155984223099335,-2.2722941179578493,-2.804972551309995,0.45895737094626476,-0.28960655485798276,-2.4377476751928233,-3.692286493226055,0.6040613488495157,769,13500,20,17.857142857142858,3,5.409741779646139,13500,0.0017366920073982328,31.519922526727896,3.210338436998427,17.460348885011626,0.0036542230227496475,10.83760753669776,0.0061778379895258695,524.2136035496078,5.891500040888786e-05,0.016176223754882812,-3.1887450218200684,42.295376,11.226824,-6.929594,5.493107,13.107296,-0.2632115,-18.405188,-108.942444,9.82178,-4.4522395,-18.350002,-105.64612,9.650474,-4.5794277,-18.368752,-107.112305,9.685917,6.246046,6.196808,7000,0.9999242,-0.025060773,-0.9998727,0.58965385,0.14510562,-1.500154,-3.486061,0.55177116,1.1561617,0.25534204,0.03062125,0.12481529
7,7,0.85356486,-0.18166833,-0.98756564,0.45448694,-60.985791408249916,5,-59.79766688402888,-60.985791408249916,-62.395765813816006,0.9804688875486115,-1.9764071826086105,-3.0492895704124963,-5.489322828851191,0.9947687913455633,-3.92454605777253,-4.60823128788964,-5.489322828851191,0.5316375714130342,-2.1588381483998207,-2.208489639525207,-2.253648761760049,0.0360745896021656,-1.9764071826086105,-3.0492895704124963,-5.489322828851191,0.9947687913455633,157,783,20,20.0,20,0.0,0.95873207,-0.1770308,-0.9974673,0.46305323,-56.384823476298585,25,-21.280523821079584,-56.384823476298585,-64.16529709691564,10.381593703923768,-1.0123197694688555,-2.8192411738149294,-5.2932675710788635,1.0368117264030954,-1.0300821090002195,-4.247155802856776,-5.2932675710788635,1.0288413722627936,-1.2825221591681373,-2.196010122706603,-2.7821920129759534,0.3159715154814234,-1.0123197694688555,-2.8192411738149294,-5.2932675710788635,1.0368117264030954,794,14000,20,20.0,20,0.0,14000,0.0016914000152610242,35.51195515674772,4.105946858006064,20.24219762501889,0.0030566100031137466,11.154297384695383,0.00470373299322091,561.290643972985,6.154601578600705e-05,0.015515030361711979,1.2390475273132324,49.000942,12.297422,-3.7449603,5.438172,14.576899,-0.23256563,-19.634884,-100.74555,9.336269,-4.3336267,-19.575668,-100.36479,9.092486,-5.5940914,-19.539104,-98.6054,9.071256,5.24181,5.0951457,8000,0.99994355,-0.11822414,-0.99969685,0.5959703,0.068107024,-1.5532223,-3.4752455,0.58313036,1.0704799,0.2464797,0.030954234,0.13088503
8,8,0.94511664,0.044425778,-0.97971314,0.50469315,-28.158334861338382,7,-1.4136565701237302,-28.158334861338382,-57.507749036625704,24.47912620512181,-0.24434511128678169,-2.2919574887135896,-3.7187279813466105,0.8004025065345393,-0.24434511128678169,-1.559040625686166,-2.826878730122931,1.1666381666093557,-1.1693114588369486,-1.7538048557776296,-2.1752437943885954,0.43660723515292726,-0.24434511128678169,-2.2919574887135896,-3.7187279813466105,0.8004025065345393,164,869,20,12.285714285714286,2,8.907689867497083,0.9863949,0.043593537,-0.99678916,0.50719744,-19.84786407340748,51,-1.3693899293098148,-19.84786407340748,-56.27208932732647,21.25141332466617,-0.20361214910103415,-2.0244821354875624,-3.651433717793769,0.7999984530731391,-0.20361214910103415,-1.1605090840409111,-2.792313448157595,1.10564994269715,-1.1298982270810942,-1.898903763969279,-2.5119356880231054,0.48420682776365626,-0.20361214910103415,-2.0244821354875624,-3.651433717793769,0.7999984530731391,845,14500,20,9.803921568627452,2,8.55666145231508,14500,0.0017442620010115206,35.61255087360041,4.179634001018712,20.898548021999886,0.003246300999308005,10.52445567958057,0.004871067998465151,598.3952080947056,5.154000245966017e-05,0.01606309600174427,0.03950485959649086,49.696877,12.0095625,-4.302989,5.1458178,15.679419,-0.20361215,-20.624699,-97.14789,9.282134,-2.931797,-20.625534,-97.03699,9.11808,-3.6920958,-20.619501,-96.13779,9.101311,5.128695,5.2391653,9000,0.99992716,0.033794913,-0.99986327,0.6082343,0.06559045,-1.5878477,-3.80112,0.56949157,1.0677893,0.23521073,0.022345731,0.116930746
9,9,0.9821051,-0.016130144,-0.9709799,0.5306542,-6.2748685256715095,21,-1.8357760960978258,-6.2748685256715095,-12.894342132820992,3.408509293710127,-0.23307922491617697,-1.4805869554955242,-2.5534440302338663,0.8318427817030528,-0.23307922491617697,-0.2691121673368888,-0.29378968955594786,0.018782198754094617,-1.5888860211177689,-2.105671929378328,-2.2356774853293446,0.1413106526099631,-0.23307922491617697,-1.4805869554955242,-2.5534440302338663,0.8318427817030528,185,958,9,4.238095238095238,2,1.9248936125150227,0.99750847,-0.01359949,-0.9906266,0.53525335,-7.439925262503651,106,-1.3943566242748775,-7.439925262503651,-43.16565193614241,7.756341707979252,-0.2086521029929756,-1.577264155650774,-3.192796823149529,0.8232091110273384,-0.2086521029929756,-0.3390810588858418,-2.0467518323585208,0.3295456457770932,-1.1191869410872348,-2.0035910115840307,-2.635244115812426,0.3734338756292256,-0.2086521029929756,-1.577264155650774,-3.192796823149529,0.8232091110273384,951,15000,20,4.716981132075472,2,3.718273886867025,15000,0.0018435499805491418,34.92435588670196,4.30071561600198,20.487670789007097,0.003109170007519424,10.12761826068163,0.003356936009367928,634.7624486854183,4.1565013816580176e-05,0.018668822944164276,0.12063946574926376,56.29718,12.030304,-7.5476313,5.205874,15.598517,-0.20361215,-20.576889,-104.09493,9.758103,-1.4967978,-20.620117,-102.79746,9.433476,0.13966927,-20.618637,-102.51428,9.397223,4.7461596,4.933012,10000,0.99999595,-0.011666129,-0.99975485,0.63069713,0.24498159,-1.5267321,-3.760609,0.56527233,1.2775978,0.2487288,0.023269568,0.11781406
